name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
No Good Deed,R,Crime,2002,"November 20, 2014 (Germany)",5.4,7100.0,Bob Rafelson,Dashiell Hammett,Samuel L. Jackson,Germany,12000000.0,1440653.0,ApolloMedia Distribution,97.0
No Man's Land,R,Comedy,2001,"September 19, 2001 (France)",7.9,45000.0,Danis Tanovic,Danis Tanovic,Branko Djuric,France,,4858869.0,Noé Productions,98.0
No Man's Land,R,Crime,1987,"October 23, 1987 (United States)",6.1,4400.0,Peter Werner,Dick Wolf,Charlie Sheen,United States,8000000.0,2877571.0,Orion Pictures,106.0
Nobody's Fool,R,Comedy,1994,"January 13, 1995 (United States)",7.4,19000.0,Robert Benton,Richard Russo,Paul Newman,United States,20000000.0,39491975.0,Capella International,110.0
Nobody's Fool,PG-13,Comedy,1986,"November 7, 1986 (United States)",5.5,754.0,Evelyn Purcell,Beth Henley,Rosanna Arquette,United States,,563358.0,Island Pictures,107.0
Nobody's Fool,R,Comedy,2018,"November 2, 2018 (United States)",4.9,7000.0,Tyler Perry,Tyler Perry,Tiffany Haddish,United States,19000000.0,33705333.0,BET Films,110.0
Oldboy,R,Action,2013,"November 27, 2013 (United States)",5.7,71000.0,Spike Lee,Garon Tsuchiya,Josh Brolin,United States,30000000.0,5186767.0,Good Universe,104.0
Oldboy,R,Action,2003,"November 21, 2003 (South Korea)",8.4,532000.0,Park Chan-Wook,Garon Tsuchiya,Choi Min-sik,South Korea,3000000.0,15189934.0,Show East,120.0
Out Cold,PG-13,Comedy,2001,"November 21, 2001 (United States)",6.3,17000.0,Brendan Malloy,Jon Zack,Flex Alexander,United States,24000000.0,14782676.0,Touchstone Pictures,89.0
Out Cold,R,Comedy,1989,"March 3, 1989 (United States)",5.5,703.0,Malcolm Mowbray,Leonard Glasser,John Lithgow,United States,,294266.0,Braunstein and Hamady Productions,92.0
Overboard,PG-13,Comedy,2018,"May 4, 2018 (United States)",6.0,36000.0,Rob Greenberg,Bob Fisher,Eugenio Derbez,United States,12000000.0,91244913.0,Metro-Goldwyn-Mayer (MGM),112.0
Overboard,PG,Comedy,1987,"December 16, 1987 (United States)",6.9,55000.0,Garry Marshall,Leslie Dixon,Goldie Hawn,United States,22000000.0,26713187.0,Metro-Goldwyn-Mayer (MGM),112.0
Paradise,R,Adventure,1982,"May 7, 1982 (United States)",4.9,2500.0,Stuart Gillard,Stuart Gillard,Willie Aames,Canada,,5588800.0,Embassy Pictures,100.0
Paradise,PG-13,Drama,1991,"October 4, 1991 (United States)",6.7,2700.0,Mary Agnes Donoghue,Mary Agnes Donoghue,Melanie Griffith,United States,,18634643.0,Grand Highway Productions,111.0
Parasite,R,Horror,1982,"March 12, 1982 (United States)",3.9,2300.0,Charles Band,Alan J. Adler,Robert Glaudini,United States,800000.0,2270.0,Embassy Pictures,85.0
Parasite,R,Comedy,2019,"November 8, 2019 (United States)",8.6,631000.0,Bong Joon Ho,Bong Joon Ho,Kang-ho Song,South Korea,11400000.0,258908054.0,Barunson E&A,132.0
Passengers,PG-13,Romance,2008,"September 26, 2008 (Spain)",5.9,35000.0,Rodrigo García,Ronnie Christensen,Anne Hathaway,United States,25000000.0,5798974.0,TriStar Pictures,93.0
Passengers,PG-13,Drama,2016,"December 21, 2016 (United States)",7.0,364000.0,Morten Tyldum,Jon Spaihts,Jennifer Lawrence,United States,110000000.0,303144152.0,Columbia Pictures,116.0
Pet Sematary,R,Fantasy,1989,"April 21, 1989 (United States)",6.6,97000.0,Mary Lambert,Stephen King,Dale Midkiff,United States,11500000.0,57470138.0,Paramount Pictures,103.0
Pet Sematary,R,Horror,2019,"April 5, 2019 (United States)",5.7,86000.0,Kevin Kölsch,Stephen King,Jason Clarke,United States,21000000.0,113118226.0,Paramount Pictures,101.0
Playing for Keeps,PG-13,Comedy,1986,"October 3, 1986 (United States)",4.2,616.0,Bob Weinstein,Bob Weinstein,Daniel Jordano,United States,,2669366.0,Miramax,102.0
Playing for Keeps,PG-13,Comedy,2012,"December 7, 2012 (United States)",5.7,29000.0,Gabriele Muccino,Robbie Fox,Gerard Butler,United States,35000000.0,30962335.0,Eclectic Pictures,105.0
Point Break,R,Action,1991,"July 12, 1991 (United States)",7.3,166000.0,Kathryn Bigelow,Rick King,Patrick Swayze,United States,24000000.0,83531958.0,Largo Entertainment,122.0
Point Break,PG-13,Action,2015,"December 25, 2015 (United States)",5.3,60000.0,Ericson Core,Kurt Wimmer,Edgar Ramírez,China,105000000.0,133718711.0,Alcon Entertainment,114.0
Poltergeist,PG-13,Horror,2015,"May 22, 2015 (United States)",4.9,56000.0,Gil Kenan,David Lindsay-Abaire,Sam Rockwell,United States,35000000.0,95437994.0,Fox 2000 Pictures,93.0
Poltergeist,PG,Horror,1982,"June 4, 1982 (United States)",7.3,148000.0,Tobe Hooper,Steven Spielberg,JoBeth Williams,United States,10700000.0,77142388.0,Metro-Goldwyn-Mayer (MGM),114.0
Possession,PG-13,Drama,2002,"August 30, 2002 (United States)",6.3,13000.0,Neil LaBute,A.S. Byatt,Gwyneth Paltrow,United Kingdom,25000000.0,14815898.0,Focus Features,102.0
Possession,R,Drama,1981,"October 28, 1983 (United States)",7.4,27000.0,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,France,,1113538.0,Gaumont,124.0
Priest,PG-13,Action,2011,"May 13, 2011 (United States)",5.7,117000.0,Scott Stewart,Cory Goodman,Paul Bettany,United States,60000000.0,78309505.0,Screen Gems,87.0
Priest,R,Drama,1994,"March 24, 1995 (United States)",7.1,9800.0,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,,4165845.0,BBC Films,98.0
Project X,PG,Comedy,1987,"April 17, 1987 (United States)",6.1,10000.0,Jonathan Kaplan,Lawrence Lasker,Matthew Broderick,United States,18000000.0,21589395.0,Amercent Films,108.0
Project X,R,Comedy,2012,"March 2, 2012 (United States)",6.6,193000.0,Nima Nourizadeh,Matt Drake,Thomas Mann,United States,12000000.0,102731865.0,Green Hat Films,88.0
Prom Night,PG-13,Horror,2008,"April 11, 2008 (United States)",3.9,35000.0,Nelson McCormick,J.S. Cardone,Brittany Snow,United States,20000000.0,57197876.0,Screen Gems,88.0
Prom Night,R,Horror,1980,"July 18, 1980 (United States)",5.4,16000.0,Paul Lynch,William Gray,Leslie Nielsen,Canada,,14796236.0,Guardian Trust Company,92.0
Promised Land,R,Drama,1987,"January 22, 1988 (United States)",5.7,1200.0,Michael Hoffman,Michael Hoffman,Jason Gedrick,United States,,316199.0,Great American Films Limited Partnership,102.0
Promised Land,R,Drama,2012,"January 4, 2013 (United States)",6.6,37000.0,Gus Van Sant,John Krasinski,Matt Damon,United States,15000000.0,11039031.0,Focus Features,106.0
Proof,R,Drama,1991,"March 20, 1992 (United States)",7.2,6300.0,Jocelyn Moorhouse,Jocelyn Moorhouse,Hugo Weaving,Australia,,524668.0,House & Moorhouse Films,86.0
Proof,PG-13,Drama,2005,"October 7, 2005 (United States)",6.7,44000.0,John Madden,David Auburn,Gwyneth Paltrow,United States,20000000.0,14189860.0,Miramax,100.0
Pulse,PG-13,Horror,2006,"August 11, 2006 (United States)",4.8,28000.0,Jim Sonzero,Kiyoshi Kurosawa,Kristen Bell,United States,20500000.0,29907685.0,Dimension Films,90.0
Pulse,PG-13,Horror,1988,"March 4, 1988 (United States)",5.4,2300.0,Paul Golding,Paul Golding,Cliff De Young,United States,6000000.0,40397.0,Aspen Film Society,91.0
Pulse,R,Horror,2001,"November 9, 2005 (United States)",6.6,18000.0,Kiyoshi Kurosawa,Kiyoshi Kurosawa,Haruhiko Katô,Japan,,318451.0,Daiei Eiga,119.0
Quartet,R,Drama,1981,"October 25, 1981 (United States)",6.3,1300.0,James Ivory,Jean Rhys,Isabelle Adjani,United Kingdom,,12042.0,Merchant Ivory Productions,101.0
Quartet,PG-13,Comedy,2012,"March 1, 2013 (United States)",6.8,19000.0,Dustin Hoffman,Ronald Harwood,Maggie Smith,United Kingdom,11000000.0,59520298.0,Headline Pictures,98.0
Rampage,PG-13,Action,2018,"April 13, 2018 (United States)",6.1,151000.0,Brad Peyton,Ryan Engle,Dwayne Johnson,United States,120000000.0,428028233.0,New Line Cinema,107.0
Rampage,R,Drama,1987,"October 30, 1992 (United States)",6.2,2000.0,William Friedkin,William P. Wood,Michael Biehn,United States,7500000.0,796368.0,De Laurentiis Entertainment Group (DEG),97.0
Red Dawn,PG-13,Action,2012,"November 21, 2012 (United States)",5.4,74000.0,Dan Bradley,Carl Ellsworth,Chris Hemsworth,United States,65000000.0,50950296.0,FilmDistrict,93.0
Red Dawn,PG-13,Action,1984,"August 10, 1984 (United States)",6.4,53000.0,John Milius,Kevin Reynolds,Patrick Swayze,United States,17000000.0,38376497.0,United Artists,114.0
Revenge,R,Action,2017,"May 11, 2018 (United States)",6.4,39000.0,Coralie Fargeat,Coralie Fargeat,Matilda Anna Ingrid Lutz,France,,913331.0,M.E.S. Productions,108.0
Revenge,R,Action,1990,"February 16, 1990 (United States)",6.2,17000.0,Tony Scott,Jim Harrison,Kevin Costner,United States,22000000.0,15645616.0,New World Pictures,124.0
Robin Hood,PG-13,Action,2018,"November 21, 2018 (United States)",5.3,68000.0,Otto Bathurst,Ben Chandler,Taron Egerton,United States,100000000.0,86493046.0,Summit Entertainment,116.0
Robin Hood,PG-13,Action,2010,"May 14, 2010 (United States)",6.6,257000.0,Ridley Scott,Brian Helgeland,Russell Crowe,United States,200000000.0,321669741.0,Universal Pictures,140.0
RoboCop,R,Action,1987,"July 17, 1987 (United States)",7.5,240000.0,Paul Verhoeven,Edward Neumeier,Peter Weller,United States,13000000.0,53424681.0,Orion Pictures,102.0
RoboCop,PG-13,Action,2014,"February 12, 2014 (United States)",6.1,219000.0,José Padilha,Joshua Zetumer,Joel Kinnaman,United States,100000000.0,242688965.0,Metro-Goldwyn-Mayer (MGM),117.0
Running Scared,R,Action,2006,"February 24, 2006 (United States)",7.3,98000.0,Wayne Kramer,Wayne Kramer,Paul Walker,Germany,15000000.0,9380029.0,New Line Cinema,122.0
Running Scared,R,Action,1986,"June 27, 1986 (United States)",6.5,12000.0,Peter Hyams,Gary DeVore,Gregory Hines,United States,,38500726.0,Metro-Goldwyn-Mayer (MGM),107.0
Rush,R,Action,1991,"January 17, 1992 (United States)",6.8,8200.0,Lili Fini Zanuck,Kim Wozencraft,Jason Patric,United States,17000000.0,7241350.0,Metro-Goldwyn-Mayer (MGM),120.0
Rush,R,Action,2013,"September 27, 2013 (United States)",8.1,446000.0,Ron Howard,Peter Morgan,Daniel Brühl,United Kingdom,38000000.0,96983009.0,Exclusive Media Group,123.0
Safe,R,Action,2012,"April 27, 2012 (United States)",6.5,106000.0,Boaz Yakin,Boaz Yakin,Jason Statham,United States,30000000.0,41564670.0,IM Global,94.0
Safe,R,Drama,1995,"June 30, 1995 (United States)",7.2,14000.0,Todd Haynes,Todd Haynes,Julianne Moore,United Kingdom,1000000.0,512245.0,American Playhouse Theatrical Films,119.0
Sahara,PG,Adventure,1983,"March 2, 1984 (United States)",5.0,1500.0,Andrew V. McLaglen,Menahem Golan,Brooke Shields,United Kingdom,25000000.0,1402962.0,Cabal Film,111.0
Sahara,PG-13,Action,2005,"April 8, 2005 (United States)",6.0,94000.0,Breck Eisner,Clive Cussler,Matthew McConaughey,United Kingdom,130000000.0,119240351.0,Paramount Pictures,124.0
Scream,R,Horror,1981,"January 1, 1981 (United States)",2.9,674.0,Byron Quisenberry,Byron Quisenberry,Pepper Martin,United States,,,Calendar International Pictures,82.0
Scream,R,Horror,1996,"December 20, 1996 (United States)",7.3,295000.0,Wes Craven,Kevin Williamson,Neve Campbell,United States,14000000.0,173046663.0,Dimension Films,111.0
Serenity,R,Drama,2019,"January 25, 2019 (United States)",5.4,38000.0,Steven Knight,Steven Knight,Matthew McConaughey,United Kingdom,25000000.0,14454622.0,Blue Budgie Films Limited,106.0
Serenity,PG-13,Action,2005,"September 30, 2005 (United States)",7.8,287000.0,Joss Whedon,Joss Whedon,Nathan Fillion,United States,39000000.0,40445129.0,Universal Pictures,119.0
Shaft,R,Action,2000,"June 16, 2000 (United States)",6.0,75000.0,John Singleton,Ernest Tidyman,Samuel L. Jackson,Germany,46000000.0,107626125.0,Paramount Pictures,99.0
Shaft,R,Action,2019,"June 14, 2019 (United States)",6.4,48000.0,Tim Story,Ernest Tidyman,Samuel L. Jackson,United States,35000000.0,21360215.0,Davis Entertainment,111.0
Sing,PG-13,Drama,1989,"March 31, 1989 (United States)",6.9,716.0,Richard Baskin,Dean Pitchford,Lorraine Bracco,United States,11500000.0,2260616.0,TriStar Pictures,98.0
Sing,PG,Animation,2016,"December 21, 2016 (United States)",7.1,140000.0,Garth Jennings,Garth Jennings,Matthew McConaughey,United States,75000000.0,634208384.0,Dentsu,108.0
Step Up,PG-13,Drama,2010,"August 6, 2010 (United States)",6.2,56000.0,Jon M. Chu,Amy Andelson,Sharni Vinson,United States,30000000.0,159291809.0,Summit Entertainment,107.0
Step Up,PG-13,Crime,2006,"August 11, 2006 (United States)",6.5,113000.0,Anne Fletcher,Duane Adler,Channing Tatum,United States,12000000.0,114197742.0,Touchstone Pictures,104.0
Sudden Death,R,Action,1995,"December 22, 1995 (United States)",5.8,33000.0,Peter Hyams,Karen Elise Baldwin,Jean-Claude Van Damme,United States,35000000.0,64350171.0,Universal Pictures,111.0
Sudden Death,R,Action,1985,"September 13, 1985 (United States)",4.8,134.0,Sig Shore,Sig Shore,Denise Coward,United States,,,Lodestar Productions,90.0
Sunshine,R,Drama,1999,"July 14, 2000 (United States)",7.5,13000.0,István Szabó,István Szabó,Ralph Fiennes,Germany,,7918035.0,Alliance Atlantis Communications,181.0
Sunshine,R,Sci-Fi,2007,"July 27, 2007 (United States)",7.2,238000.0,Danny Boyle,Alex Garland,Cillian Murphy,United Kingdom,,34806812.0,DNA Films,107.0
Taxi,PG-13,Action,2004,"October 6, 2004 (United States)",4.5,41000.0,Tim Story,Luc Besson,Queen Latifah,United States,25000000.0,71255003.0,Twentieth Century Fox,97.0
Taxi,Not Rated,Action,1998,"November 20, 1998 (United States)",7.0,78000.0,Gérard Pirès,Luc Besson,Samy Naceri,France,,,ARP Sélection,86.0
Teenage Mutant Ninja Turtles,PG,Action,1990,"March 30, 1990 (United States)",6.8,88000.0,Steve Barron,Kevin Eastman,Judith Hoag,United States,13500000.0,201965915.0,888 Productions,93.0
Teenage Mutant Ninja Turtles,PG-13,Action,2014,"August 8, 2014 (United States)",5.8,203000.0,Jonathan Liebesman,Josh Appelbaum,Megan Fox,United States,125000000.0,485004754.0,Paramount Pictures,101.0
The Addams Family,PG,Animation,2019,"October 11, 2019 (United States)",5.8,31000.0,Greg Tiernan,Matt Lieberman,Oscar Isaac,Canada,24000000.0,203783566.0,Metro-Goldwyn-Mayer (MGM),86.0
The Addams Family,PG-13,Comedy,1991,"November 22, 1991 (United States)",6.9,140000.0,Barry Sonnenfeld,Charles Addams,Anjelica Huston,United States,30000000.0,191502426.0,Orion Pictures,99.0
The Adventures of Pinocchio,G,Adventure,1996,"July 26, 1996 (United States)",5.2,5500.0,Steve Barron,Sherry Mills,Martin Landau,Czech Republic,25000000.0,15094530.0,New Line Cinema,96.0
The Adventures of Pinocchio,Not Rated,Animation,1984,"June 8, 1984 (United States)",5.1,73.0,Ippei Kuri,Donald Paonessa,Danielle Romeo,United States,,,Century Video Corporation,98.0
The Avengers,PG-13,Action,1998,"August 14, 1998 (United States)",3.8,41000.0,Jeremiah S. Chechik,Sydney Newman,Ralph Fiennes,United States,60000000.0,23384939.0,Warner Bros.,89.0
The Avengers,PG-13,Action,2012,"May 4, 2012 (United States)",8.0,1300000.0,Joss Whedon,Joss Whedon,Robert Downey Jr.,United States,220000000.0,1518815515.0,Marvel Studios,143.0
The Aviator,PG,Adventure,1985,"March 15, 1985 (United States)",5.5,1200.0,George Miller,Ernest K. Gann,Christopher Reeve,United States,,1304192.0,United Artists,96.0
The Aviator,PG-13,Biography,2004,"December 25, 2004 (United States)",7.5,342000.0,Martin Scorsese,John Logan,Leonardo DiCaprio,United States,110000000.0,213719942.0,Forward Pass,170.0
The Bear,PG,Biography,1984,"September 28, 1984 (United States)",6.1,270.0,Richard C. Sarafian,Michael Kane,Gary Busey,United States,221000.0,2687148.0,,110.0
The Bear,PG,Adventure,1988,"October 27, 1989 (United States)",7.7,17000.0,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,France,,31753898.0,Price,96.0
The Captain,,Drama,2017,"July 27, 2018 (United States)",7.4,15000.0,Robert Schwentke,Robert Schwentke,Max Hubacher,Germany,,1196669.0,Filmgalerie 451,118.0
The Captain,,Action,2019,"September 30, 2019 (China)",6.2,1700.0,Andrew Lau,Yonggan Yu,Hanyu Zhang,China,,417282021.0,Bona Film Group,111.0
The Fog,PG-13,Horror,2005,"October 14, 2005 (United States)",3.7,35000.0,Rupert Wainwright,Cooper Layne,Tom Welling,United States,18000000.0,46201432.0,Revolution Studios,100.0
The Fog,R,Horror,1980,"February 8, 1980 (United States)",6.8,66000.0,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000.0,21448782.0,AVCO Embassy Pictures,89.0
The Gift,R,Drama,2000,"January 19, 2001 (United States)",6.7,65000.0,Sam Raimi,Billy Bob Thornton,Cate Blanchett,United States,10000000.0,44567606.0,Lakeshore Entertainment,111.0
The Gift,R,Drama,2015,"August 7, 2015 (United States)",7.0,145000.0,Joel Edgerton,Joel Edgerton,Jason Bateman,United States,5000000.0,58980521.0,Blumhouse Productions,108.0
The Girl with the Dragon Tattoo,R,Crime,2011,"December 21, 2011 (United States)",7.8,435000.0,David Fincher,Steven Zaillian,Daniel Craig,United States,90000000.0,232617430.0,Columbia Pictures,158.0
The Girl with the Dragon Tattoo,R,Crime,2009,"April 30, 2010 (United States)",7.8,211000.0,Niels Arden Oplev,Nikolaj Arcel,Michael Nyqvist,Sweden,13000000.0,104414200.0,Yellow Bird,152.0
The Guardian,R,Drama,1990,"April 27, 1990 (United States)",5.4,5300.0,William Friedkin,Dan Greenburg,Jenny Seagrove,United States,,17037887.0,Universal Pictures,92.0
The Guardian,PG-13,Action,2006,"September 29, 2006 (United States)",6.9,89000.0,Andrew Davis,Ron L. Brinkerhoff,Kevin Costner,United States,70000000.0,94973540.0,Touchstone Pictures,139.0
The Hitcher,R,Action,1986,"February 21, 1986 (United States)",7.2,45000.0,Robert Harmon,Eric Red,Rutger Hauer,United States,6000000.0,5844868.0,HBO Pictures,97.0
The Hitcher,R,Crime,2007,"January 19, 2007 (United States)",5.6,41000.0,Dave Meyers,Eric Red,Sean Bean,United States,10000000.0,25399945.0,Focus Features,84.0
The Host,PG-13,Action,2013,"March 29, 2013 (United States)",5.9,112000.0,Andrew Niccol,Andrew Niccol,Saoirse Ronan,United States,40000000.0,63365859.0,Chockstone Pictures,125.0
The Host,R,Action,2006,"March 30, 2007 (United States)",7.1,112000.0,Bong Joon Ho,Bong Joon Ho,Kang-ho Song,South Korea,,89433436.0,Chungeorahm Film,120.0
The Hunted,R,Action,1995,"February 24, 1995 (United States)",6.0,4900.0,J.F. Lawton,J.F. Lawton,Christopher Lambert,United States,20000000.0,6609661.0,Universal Pictures,110.0
The Hunted,R,Action,2003,"March 14, 2003 (United States)",6.1,45000.0,William Friedkin,David Griffiths,Tommy Lee Jones,United States,55000000.0,46061847.0,Lakeshore Entertainment,94.0
The Island,R,Action,1980,"June 13, 1980 (United States)",5.3,3900.0,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000.0,15716828.0,Universal Pictures,109.0
The Island,PG-13,Action,2005,"July 22, 2005 (United States)",6.8,304000.0,Michael Bay,Caspian Tredwell-Owen,Scarlett Johansson,United States,126000000.0,162949164.0,Dreamworks Pictures,136.0
The Jungle Book,PG,Adventure,2016,"April 15, 2016 (United States)",7.4,264000.0,Jon Favreau,Justin Marks,Neel Sethi,United Kingdom,175000000.0,966554929.0,Fairview Entertainment,106.0
The Jungle Book,PG,Adventure,1994,"December 25, 1994 (United States)",6.0,17000.0,Stephen Sommers,Rudyard Kipling,Jason Scott Lee,United States,27000000.0,43229904.0,Vegahom Europe,111.0
The Karate Kid,PG,Action,2010,"June 11, 2010 (United States)",6.2,168000.0,Harald Zwart,Christopher Murphey,Jackie Chan,United States,40000000.0,359126022.0,Columbia Pictures,140.0
The Karate Kid,PG,Action,1984,"June 22, 1984 (United States)",7.3,205000.0,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,United States,8000000.0,91119319.0,Columbia Pictures,126.0
The Kid,PG,Comedy,2000,"July 7, 2000 (United States)",6.1,41000.0,Jon Turteltaub,Audrey Wells,Bruce Willis,United States,65000000.0,110317580.0,Chester Films Inc.,104.0
The Kid,R,Biography,2019,"March 8, 2019 (United States)",5.9,7400.0,Vincent D'Onofrio,Vincent D'Onofrio,Jake Schur,United States,8000000.0,1561698.0,Mimran Schur Pictures,100.0
The Lion King,PG,Animation,2019,"July 19, 2019 (United States)",6.9,222000.0,Jon Favreau,Jeff Nathanson,Donald Glover,United States,260000000.0,1670727580.0,Walt Disney Pictures,118.0
The Lion King,G,Animation,1994,"June 24, 1994 (United States)",8.5,970000.0,Roger Allers,Irene Mecchi,Matthew Broderick,United States,45000000.0,1083720877.0,Walt Disney Pictures,88.0
The Little Mermaid,PG,Adventure,2018,"August 17, 2018 (United States)",4.3,8500.0,Blake Harris,Blake Harris,William Moseley,United States,,2614006.0,Conglomerate Media,85.0
The Little Mermaid,G,Animation,1989,"November 17, 1989 (United States)",7.6,244000.0,Ron Clements,John Musker,Jodi Benson,United States,40000000.0,211343479.0,Walt Disney Pictures,83.0
The Man Who Wasn't There,R,Crime,2001,"November 16, 2001 (United States)",7.5,106000.0,Joel Coen,Joel Coen,Billy Bob Thornton,United States,20000000.0,18916623.0,Good Machine,116.0
The Man Who Wasn't There,R,Action,1983,"August 12, 1983 (United States)",3.8,513.0,Bruce Malmuth,Stanford Sherman,Steve Guttenberg,United States,,2443487.0,Paramount Pictures,111.0
The Mummy,PG-13,Action,2017,"June 9, 2017 (United States)",5.4,177000.0,Alex Kurtzman,David Koepp,Tom Cruise,United States,125000000.0,409231607.0,Universal Pictures,110.0
The Mummy,PG-13,Action,1999,"May 7, 1999 (United States)",7.0,401000.0,Stephen Sommers,Stephen Sommers,Brendan Fraser,United States,80000000.0,415933406.0,Universal Pictures,124.0
The Phantom of the Opera,PG-13,Drama,2004,"December 10, 2004 (United Kingdom)",7.2,118000.0,Joel Schumacher,Gaston Leroux,Gerard Butler,United Kingdom,70000000.0,154649125.0,Warner Bros.,143.0
The Phantom of the Opera,R,Drama,1989,"November 3, 1989 (United States)",5.5,3800.0,Dwight H. Little,Gaston Leroux,Robert Englund,United States,,3953745.0,21st Century Film Corporation,93.0
The Postman,PG,Biography,1994,"March 22, 1996 (United States)",7.7,34000.0,Michael Radford,Antonio Skármeta,Massimo Troisi,Italy,3000000.0,21898920.0,Cecchi Gori Group Tiger Cinematografica,108.0
The Postman,R,Action,1997,"December 25, 1997 (United States)",6.1,70000.0,Kevin Costner,David Brin,Kevin Costner,United States,80000000.0,17626234.0,Tig Productions,177.0
The Protector,R,Action,1985,"August 23, 1985 (United States)",5.7,4200.0,James Glickenhaus,James Glickenhaus,Jackie Chan,Hong Kong,5000000.0,981817.0,Eurasia Investments,91.0
The Protector,R,Action,2005,"September 8, 2006 (United States)",7.1,36000.0,Prachya Pinkaew,Napalee,Tony Jaa,Thailand,,27165581.0,Sahamongkolfilm Co.,111.0
The Rookie,G,Drama,2002,"March 29, 2002 (United States)",6.9,33000.0,John Lee Hancock,Mike Rich,Dennis Quaid,United States,22000000.0,80693537.0,98 MPH Productions,127.0
The Rookie,R,Action,1990,"December 7, 1990 (United States)",5.9,26000.0,Clint Eastwood,Boaz Yakin,Clint Eastwood,United States,10000000.0,21633874.0,Warner Bros.,120.0
The Stepfather,R,Horror,1987,"June 5, 1987 (United States)",6.8,14000.0,Joseph Ruben,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,,2488740.0,Incorporated Television Company (ITC),89.0
The Stepfather,PG-13,Crime,2009,"October 16, 2009 (United States)",5.6,33000.0,Nelson McCormick,J.S. Cardone,Penn Badgley,United States,20000000.0,31198531.0,Screen Gems,101.0
The Thing,R,Horror,1982,"June 25, 1982 (United States)",8.1,382000.0,John Carpenter,Bill Lancaster,Kurt Russell,United States,15000000.0,19632053.0,Universal Pictures,109.0
The Thing,R,Horror,2011,"October 14, 2011 (United States)",6.2,124000.0,Matthijs van Heijningen Jr.,Eric Heisserer,Mary Elizabeth Winstead,Canada,38000000.0,31505287.0,Morgan Creek Entertainment,103.0
The Three Musketeers,PG,Action,1993,"November 12, 1993 (United States)",6.4,52000.0,Stephen Herek,Alexandre Dumas,Charlie Sheen,Austria,30000000.0,53898845.0,Walt Disney Pictures,105.0
The Three Musketeers,PG-13,Action,2011,"October 21, 2011 (United States)",5.7,105000.0,Paul W.S. Anderson,Alex Litvak,Logan Lerman,United States,75000000.0,132274484.0,Summit Entertainment,110.0
The Unborn,R,Drama,1991,"March 29, 1991 (United States)",4.6,1100.0,Rodman Flender,John Brancato,Brooke Adams,United States,,1159578.0,Califilm,83.0
The Unborn,PG-13,Drama,2009,"January 9, 2009 (United States)",4.8,50000.0,David S. Goyer,David S. Goyer,Odette Annable,United States,16000000.0,76514050.0,Rogue Pictures,88.0
Total Recall,PG-13,Action,2012,"August 3, 2012 (United States)",6.2,244000.0,Len Wiseman,Kurt Wimmer,Colin Farrell,United States,125000000.0,198467168.0,Total Recall,118.0
Total Recall,R,Action,1990,"June 1, 1990 (United States)",7.5,310000.0,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,United States,65000000.0,261317921.0,Carolco Pictures,113.0
Trespass,R,Action,1992,"December 25, 1992 (United States)",6.3,10000.0,Walter Hill,Bob Gale,Bill Paxton,United States,14000000.0,13249535.0,Universal Pictures,101.0
Trespass,R,Crime,2011,"October 21, 2011 (Bulgaria)",5.3,42000.0,Joel Schumacher,Karl Gajdusek,Nicolas Cage,United States,35000000.0,10117966.0,Millennium Films,91.0
Trust,R,Crime,2010,"April 28, 2011 (Israel)",6.9,42000.0,David Schwimmer,Andy Bellin,Clive Owen,United States,4000000.0,595802.0,Millennium Films,106.0
Trust,R,Comedy,1990,"September 20, 1991 (United Kingdom)",7.4,9400.0,Hal Hartley,Hal Hartley,Adrienne Shelly,United Kingdom,700000.0,357400.0,Channel Four Films,107.0
Twilight,PG-13,Drama,2008,"November 21, 2008 (United States)",5.2,435000.0,Catherine Hardwicke,Melissa Rosenberg,Kristen Stewart,United States,37000000.0,408430415.0,Summit Entertainment,122.0
Twilight,R,Crime,1998,"March 6, 1998 (United States)",6.2,11000.0,Robert Benton,Robert Benton,Paul Newman,United States,37000000.0,15055091.0,Cinehaus,94.0
Under Suspicion,R,Crime,2000,"November 15, 2000 (France)",6.5,23000.0,Stephen Hopkins,John Wainwright,Morgan Freeman,France,25000000.0,1308242.0,Revelations Entertainment,110.0
Under Suspicion,R,Crime,1991,"February 28, 1992 (United States)",6.5,3800.0,Simon Moore,Simon Moore,Liam Neeson,United Kingdom,6000000.0,221295.0,Carnival Film & Television,99.0
Unforgettable,R,Drama,1996,"February 23, 1996 (United States)",6.0,5000.0,John Dahl,Bill Geddie,Ray Liotta,United States,18000000.0,2821671.0,Dino De Laurentiis Company,117.0
Unforgettable,R,Drama,2017,"April 21, 2017 (United States)",5.1,15000.0,Denise Di Novi,Christina Hodson,Rosario Dawson,United States,12000000.0,17768012.0,DiNovi Pictures,100.0
